City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Willowmore,ZA,-33.2926,23.4895,77.83,48,96,3.91,overcast clouds
177,Nsunga,TZ,-1.1439,31.3947,59.18,85,100,1.28,overcast clouds
178,Caravelas,BR,-17.7125,-39.2481,74.14,90,9,3.44,clear sky
179,Wuxue,CN,29.8506,115.5525,43.59,38,0,4.18,clear sky
180,Itarema,BR,-2.9248,-39.9167,78.64,77,74,12.39,broken clouds
181,Cockburn Town,TC,21.4612,-71.1419,75.61,59,3,14.99,clear sky
182,Hithadhoo,MV,-0.6,73.0833,80.67,66,2,3.96,clear sky
183,Tabou,CI,4.423,-7.3528,77.43,86,72,5.26,broken clouds
184,Ejido Hermosillo,MX,32.5121,-114.9238,55.83,50,2,12.39,clear sky
185,Kavieng,PG,-2.5744,150.7967,81.05,73,100,5.3,overcast clouds
186,Carutapera,BR,-1.195,-46.02,74.89,90,99,5.84,overcast clouds
187,Muli,MV,2.9167,73.5667,81.09,75,52,10.18,broken clouds
188,Pacocha,PE,-17.5833,-71.3333,69.49,84,77,4.83,broken clouds
189,Glogow,PL,51.6636,16.0845,33.48,77,100,4.97,overcast clouds
190,Cabra,ES,37.4725,-4.4421,43.66,91,92,5.01,overcast clouds
191,Winslow,US,35.0242,-110.6974,33.98,75,100,10.36,overcast clouds
192,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.76,100,100,9.22,light rain
193,Saint-Pierre,RE,-21.3393,55.4781,81.91,69,0,28.77,clear sky
194,Broome,US,42.2506,-75.833,40.53,88,100,3.44,mist
195,Sunbury,AU,-37.5833,144.7333,64.45,91,75,13.8,broken clouds
196,Ewa Beach,US,21.3156,-158.0072,80.55,68,0,9.22,clear sky
197,Alaca,TR,40.1683,34.8425,38.12,83,68,5.41,broken clouds
198,Kalmunai,LK,7.4167,81.8167,78.6,74,64,10.98,broken clouds
199,Evensk,RU,61.95,159.2333,-0.53,73,100,12.57,overcast clouds
200,Nanortalik,GL,60.1432,-45.2371,26.11,79,100,7.99,light snow
201,Belmonte,BR,-15.8631,-38.8828,75.13,88,3,4.52,clear sky
202,Mlowo,TZ,-9.0,32.9833,58.08,98,89,3.65,light rain
203,Port Elizabeth,ZA,-33.918,25.5701,74.32,97,20,9.22,few clouds
204,Mitsamiouli,KM,-11.3847,43.2844,80.65,75,100,6.29,light rain
205,Araouane,ML,18.9048,-3.5265,66.02,17,96,4.94,overcast clouds
206,Lompoc,US,34.6391,-120.4579,50.77,88,0,6.91,clear sky
207,Norman Wells,CA,65.282,-126.8329,-5.76,84,40,4.61,scattered clouds
208,Urucara,BR,-2.5364,-57.76,70.99,99,100,1.36,light rain
209,Ahipara,NZ,-35.1667,173.1667,70.3,67,12,11.32,few clouds
210,Pangai,TO,-19.8,-174.35,82.51,89,75,4.61,thunderstorm
211,Biltine,TD,14.5333,20.9167,67.42,23,99,8.41,overcast clouds
212,Lorengau,PG,-2.0226,147.2712,84.06,67,86,3.11,overcast clouds
213,Alihe,CN,50.5667,123.7167,-7.91,87,100,3.0,overcast clouds
214,Eyl,SO,7.9803,49.8164,72.1,77,48,13.33,scattered clouds
215,Moindou,NC,-21.6924,165.677,75.51,76,100,4.7,light rain
216,Faanui,PF,-16.4833,-151.75,81.05,72,37,11.39,scattered clouds
217,Haizhou,CN,34.5817,119.1289,37.49,34,0,5.57,clear sky
218,Torbay,CA,47.6666,-52.7314,47.39,97,100,13.8,light rain
219,Pelym,RU,61.0108,61.9978,9.05,88,73,6.71,broken clouds
220,Khatanga,RU,71.9667,102.5,-36.54,100,42,5.44,scattered clouds
221,Bethel,US,41.3712,-73.414,42.67,57,100,3.44,overcast clouds
222,Tieling,CN,42.2931,123.8414,19.22,43,0,12.41,clear sky
223,De-Kastri,RU,51.4667,140.7833,-7.24,90,100,4.38,overcast clouds
224,Te Anau,NZ,-45.4167,167.7167,77.5,38,9,3.76,clear sky
225,Sisimiut,GL,66.9395,-53.6735,-6.38,83,27,11.14,scattered clouds
226,Avera,US,33.194,-82.5271,59.38,97,96,5.46,overcast clouds
227,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.36,83,100,8.72,overcast clouds
228,Arlit,NE,18.7369,7.3853,56.5,23,1,5.1,clear sky
229,San Luis Rio Colorado,MX,32.4631,-114.7767,55.58,48,10,11.86,clear sky
230,San Patricio,US,28.017,-97.5169,71.83,86,96,10.27,overcast clouds
231,Eureka,US,40.8021,-124.1637,47.25,90,93,3.74,overcast clouds
232,Okhotsk,RU,59.3833,143.3,-12.71,96,100,10.49,overcast clouds
233,Karratha,AU,-20.7377,116.8463,87.44,57,47,11.52,scattered clouds
234,Beyneu,KZ,45.3167,55.2,27.59,81,83,10.63,broken clouds
235,Fairbanks,US,64.8378,-147.7164,-5.91,81,20,4.61,few clouds
236,Tyler,US,32.3513,-95.3011,67.69,84,0,9.22,clear sky
237,Maraa,BR,-1.8333,-65.3667,69.82,99,95,2.19,moderate rain
238,Mercedes,AR,-34.6515,-59.4307,80.78,49,9,17.4,clear sky
239,Ketchikan,US,55.3422,-131.6461,35.58,93,100,6.91,light snow
240,Yulara,AU,-25.2406,130.9889,95.16,29,8,17.4,clear sky
241,Mar Del Plata,AR,-38.0023,-57.5575,71.94,96,20,4.61,mist
242,Mandal,IN,25.45,74.5667,48.92,40,0,3.67,clear sky
243,Makubetsu,JP,45.3714,141.8211,20.91,79,75,26.46,light snow
244,Sioux Lookout,CA,50.1001,-91.917,8.67,85,75,5.75,broken clouds
245,Wanning,CN,18.8003,110.3967,64.67,77,95,14.2,overcast clouds
246,Harnosand,SE,62.6323,17.9379,33.8,99,100,16.4,light snow
247,Kruisfontein,ZA,-34.0033,24.7314,70.88,77,100,4.59,overcast clouds
248,Bangui,CF,4.3612,18.555,71.13,37,85,1.74,overcast clouds
249,Alcantara,BR,-2.4089,-44.4147,79.0,88,94,7.76,overcast clouds
250,Gautier,US,30.3858,-88.6117,66.45,97,100,0.0,overcast clouds
251,Sorland,NO,67.667,12.6934,37.26,65,100,20.83,overcast clouds
252,Skjervoy,NO,70.0311,20.9714,30.2,62,81,13.22,broken clouds
253,Batetskiy,RU,58.6461,30.3027,32.83,98,100,10.42,light snow
254,Oktyabrskoye,RU,43.0645,44.7417,24.94,93,100,2.24,fog
255,Gibsons,CA,49.3997,-123.5027,46.35,95,100,11.12,heavy intensity rain
256,Touros,BR,-5.1989,-35.4608,78.64,79,99,11.83,overcast clouds
257,Mazagao,BR,-0.115,-51.2894,77.05,96,100,3.74,moderate rain
258,Bukachacha,RU,52.9833,116.9167,-6.65,89,100,0.98,overcast clouds
259,Port Moresby,PG,-9.4431,147.1797,92.62,59,20,14.97,haze
260,Tarata,BO,-17.6167,-66.0167,65.62,62,88,5.82,overcast clouds
261,Jackson,US,42.4165,-122.8345,43.72,79,93,1.01,overcast clouds
262,Chelbasskaya,RU,45.9792,39.3719,34.14,72,37,9.13,scattered clouds
263,Udachnyy,RU,66.4167,112.4,-49.56,63,98,4.45,overcast clouds
264,Port Hawkesbury,CA,45.6169,-61.3485,40.17,98,100,10.36,mist
265,Coihaique,CL,-45.5752,-72.0662,58.95,58,0,3.44,clear sky
266,Angoche,MZ,-16.2325,39.9086,76.77,86,100,2.77,overcast clouds
267,Thinadhoo,MV,0.5333,72.9333,80.8,65,75,4.68,broken clouds
268,Benguela,AO,-12.5763,13.4055,76.75,76,100,5.48,overcast clouds
269,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,100,10.36,light snow
270,Clovis,US,36.8252,-119.7029,46.62,86,20,3.44,few clouds
271,Noshiro,JP,40.2039,140.0242,36.43,71,100,16.13,overcast clouds
272,Kenai,US,60.5544,-151.2583,26.65,76,20,4.61,few clouds
273,Saint Albans,GB,51.75,-0.3333,30.24,93,14,9.22,few clouds
274,Buritis,BR,-15.6178,-46.4233,67.89,91,63,1.52,broken clouds
275,Isangel,VU,-19.55,169.2667,80.71,83,100,2.3,overcast clouds
276,Hami,CN,42.8,93.45,16.75,43,1,1.5,clear sky
277,Umm Lajj,SA,25.0213,37.2685,65.39,39,36,9.66,scattered clouds
278,Singaraja,ID,-8.112,115.0882,84.15,74,100,1.54,overcast clouds
